timestamp, temperature_gpu, power_draw_w, utilization_gpu, utilization_memory, memory_used_mib, memory_free_mib, total_energy_consumption_j
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201629996
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201629996
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201629996
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201629996
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201629996
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201629996
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201629996
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201629996
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201629996
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201629996
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201629996
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201629996
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 57, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201635828
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201641798
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201647759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201653720
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201659759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201659759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201659759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201659759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201659759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201659759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201659759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201659759
1.72281e+18, 30, 59, 0, 0, 1965, 40984, 53201659759
