timestamp, temperature_gpu, power_draw_w, power_limit_w, utilization_gpu, utilization_memory, memory_used_mib, memory_free_mib, clocks_throttle_reasons_active, clocks_current_sm_mhz, clocks_applications_graphics_mhz, clocks_current_memory_mhz, clocks_max_memory_mhz, pstate
                                                              
GPU 3     0.000        0.000        0.000        14706279                    6488064                     0                           0                           
GPU 3     0.000        0.000        0.000        24586621                    15878859                    0                           0                           
GPU 3     0.000        0.000        0.000        27798892                    17663879                    0                           0                           
GPU 3     0.000        0.000        0.000        27798892                    17663879                    0                           0                           
GPU 3     0.000        0.000        0.000        17626807                    11200367                    0                           0                           
GPU 3     0.000        0.000        0.000        17626807                    11200367                    0                           0                           
GPU 3     0.000        0.000        0.000        17196789                    11106259                    0                           0                           
GPU 3     0.000        0.000        0.000        17196789                    11106259                    0                           0                           
GPU 3     0.000        0.000        0.000        18707382                    11475957                    0                           0                           
GPU 3     0.000        0.000        0.000        18707382                    11475957                    0                           0                           
GPU 3     0.000        0.000        0.000        17745660                    11342587                    0                           0                           
GPU 3     0.000        0.000        0.000        17745660                    11342587                    0                           0                           
GPU 3     0.000        0.000        0.000        17359790                    10916981                    0                           0                           
GPU 3     0.000        0.000        0.000        17359790                    10916981                    0                           0                           
GPU 3     0.000        0.000        0.000        17461229                    11211947                    0                           0                           
#Entity   SMACT        SMOCC        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                                                                                                                               
GPU 3     0.000        0.000        0.000        17461229                    11211947                    0                           0                           
GPU 3     0.000        0.000        0.000        17663699                    11407806                    0                           0                           
GPU 3     0.000        0.000        0.000        17663699                    11407806                    0                           0                           
GPU 3     0.000        0.000        0.000        17286561                    11033975                    0                           0                           
GPU 3     0.000        0.000        0.000        17286561                    11033975                    0                           0                           
GPU 3     0.000        0.000        0.000        17657404                    11219809                    0                           0                           
GPU 3     0.000        0.000        0.000        17657404                    11219809                    0                           0                           
GPU 3     0.000        0.000        0.000        18884954                    11584888                    0                           0                           
GPU 3     0.000        0.000        0.000        18884954                    11584888                    0                           0                           
GPU 3     0.000        0.000        0.000        17565125                    11344143                    0                           0                           
GPU 3     0.000        0.000        0.000        17565125                    11344143                    0                           0                           
GPU 3     0.000        0.000        0.000        17189283                    10922357                    0                           0                           
GPU 3     0.000        0.000        0.000        17671828                    11413055                    0                           0                           
GPU 3     0.000        0.000        0.000        17671828                    11413055                    0                           0                           
#Entity   SMACT        SMOCC        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                                                                                                                               
GPU 3     0.000        0.000        0.000        17840720                    11219422                    0                           0                           
GPU 3     0.000        0.000        0.000        17840720                    11219422                    0                           0                           
GPU 3     0.000        0.000        0.000        17657404                    11403740                    0                           0                           
GPU 3     0.000        0.000        0.000        17657404                    11403740                    0                           0                           
GPU 3     0.000        0.000        0.000        17674472                    11230654                    0                           0                           
GPU 3     0.000        0.000        0.000        17674472                    11230654                    0                           0                           
GPU 3     0.000        0.000        0.000        19103063                    11682865                    0                           0                           
GPU 3     0.000        0.000        0.000        19103063                    11682865                    0                           0                           
GPU 3     0.000        0.000        0.000        17576582                    11351543                    0                           0                           
GPU 3     0.000        0.000        0.000        17576582                    11351543                    0                           0                           
GPU 3     0.000        0.000        0.000        15871375                    10084936                    0                           0                           
GPU 3     0.000        0.000        0.000        15871375                    10084936                    0                           0                           
GPU 3     0.000        0.000        0.000        16321040                    10581773                    0                           0                           
GPU 3     0.000        0.000        0.000        16321040                    10581773                    0                           0                           
#Entity   SMACT        SMOCC        DRAMA        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID                                                                                                                                                               
GPU 3     0.000        0.000        0.000        16958617                    10941043                    0                           0                           
GPU 3     0.000        0.000        0.000        16958617                    10941043                    0                           0                           
GPU 3     0.000        0.000        0.000        17045064                    10996815                    0                           0                           
GPU 3     0.000        0.000        0.000        17045064                    10996815                    0                           0                           
GPU 3     0.000        0.000        0.000        17023029                    10982599                    0                           0                           
GPU 3     0.000        0.000        0.000        17023029                    10982599                    0                           0                           
GPU 3     0.000        0.000        0.000        18151699                    11083780                    0                           0                           
GPU 3     0.000        0.000        0.000        18151699                    11083780                    0                           0                           
GPU 3     0.000        0.000        0.000        17173458                    11144478                    0                           0                           
