# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 2.810000 4.810000 29.050000 1.405000 0.105556 0.242333 -nan -nan -nan
1025 10 10.210000 40.911000 132.333000 1.405000 3.359222 3.437000 0.219108 0.003114 inf
2049 10 10.499000 42.261000 135.232000 1.405000 3.360222 3.744667 0.732459 0.001615 1.253776
3073 10 10.559000 42.432000 136.843000 1.405000 3.472556 3.804556 1.163683 0.000984 1.217072
4097 10 13.079000 44.980000 161.864000 1.405000 3.452667 3.818111 1.494072 0.000662 1.162177
5121 10 13.160000 45.182000 163.303000 1.405000 3.522556 3.862556 1.746481 0.000477 1.105322
6145 10 13.429000 45.631000 165.865000 1.405000 3.508333 3.882667 1.942825 0.000362 1.052030
7169 10 13.411000 45.630000 166.615000 1.405000 3.611667 3.880667 2.102466 0.000284 1.005693
8193 10 13.549000 46.090000 167.235000 1.405000 3.527222 3.878111 2.229063 0.000231 0.962161
9217 10 14.001000 46.620000 170.965000 1.405000 3.439444 4.106111 2.335877 0.000192 0.924189
10241 10 14.121000 47.412000 172.045000 1.405000 3.426111 4.220667 2.418042 0.000165 0.886966
11265 10 14.321000 47.661000 174.305000 1.405000 3.455000 4.299556 2.491704 0.000144 0.855162
12289 10 14.180000 48.300000 172.885000 1.405000 3.453889 4.362778 2.547978 0.000129 0.824076
13313 10 15.230000 50.761000 183.685000 1.405000 3.487222 4.781556 2.583699 0.000120 0.792815
14337 10 15.509000 50.970000 186.624000 1.405000 3.503778 4.901667 2.623000 0.000111 0.766732
15361 10 15.649000 51.581000 187.696000 1.405000 3.467333 5.002556 2.657640 0.000104 0.743054
16385 10 16.100000 53.190000 191.786000 1.405000 3.420667 5.076111 2.680916 0.000099 0.719907
17409 10 15.969000 53.931000 191.006000 1.405000 3.479556 5.327222 2.698784 0.000096 0.698346
18433 10 16.000000 54.972000 191.616000 1.405000 3.512889 5.371667 2.711126 0.000094 0.678159
19457 10 16.161000 55.511000 193.166000 1.405000 3.506222 5.350667 2.725286 0.000092 0.659988
20481 10 16.299000 56.131000 194.495000 1.405000 3.500556 5.399333 2.739658 0.000089 0.643413
21505 10 16.291000 57.481000 194.706000 1.405000 3.532889 5.484111 2.746322 0.000088 0.627356
22529 10 16.610000 58.761000 197.675000 1.405000 3.508333 5.462889 2.750406 0.000088 0.612331
23553 10 16.790000 60.371000 199.486000 1.405000 3.509556 5.600778 2.748641 0.000088 0.598271
24577 10 17.041000 61.362000 202.126000 1.405000 3.524000 5.689778 2.747766 0.000088 0.585125
25601 10 17.009000 62.351000 202.235000 1.405000 3.571667 5.791556 2.745461 0.000088 0.572841
26625 10 17.480000 63.380000 207.035000 1.405000 3.581667 5.873889 2.745445 0.000088 0.561267
27649 10 17.710000 64.421000 208.965000 1.405000 3.540556 5.979667 2.745459 0.000088 0.550368
28673 10 17.689000 65.541000 208.786000 1.405000 3.544000 6.012667 2.743222 0.000089 0.540118
29697 10 17.839000 66.671000 210.775000 1.405000 3.598333 6.173889 2.740246 0.000089 0.530457
30721 10 17.990000 68.112000 212.115000 1.405000 3.579444 6.168444 2.734670 0.000090 0.521495
31745 10 18.220000 69.271000 214.415000 1.405000 3.579444 6.208444 2.729262 0.000090 0.512989
32769 10 19.439000 88.863000 263.878000 1.405000 7.720889 7.716111 2.616910 0.000101 0.610368
33793 10 18.979000 88.091000 259.076000 1.405000 7.698444 7.709667 2.527641 0.000109 0.661283
34817 10 19.280000 88.772000 262.257000 1.405000 7.717444 7.716444 2.454114 0.000115 0.690798
35841 10 19.390000 89.003000 264.027000 1.405000 7.791889 7.800778 2.395649 0.000120 0.705424
36865 10 19.540000 89.253000 265.117000 1.405000 7.746333 7.809667 2.350298 0.000124 0.710386
